new entry "DRAGONS_LIBERATION"
type "Weapon"
using "WPN_HeavyCrossbow"
data "Level" ""
data "Slot" "Ranged Main Weapon"
data "Damage Type" "Piercing"
data "Damage" "1d10"
data "Damage Range" "3000"
data "WeaponRange" "1800"
data "ValueOverride" "1"
data "ValueLevel" "4"
data "ValueScale" ""
data "ValueRounding" "1"
data "Weight" "0.1"
data "Projectile" "ff93ba9c-124c-454e-ac8c-436c136bcef2"
data "Rarity" "Common"
data "RootTemplate" "dd32e886-0530-4b37-b422-0baeb8ca6728"
data "DefaultBoosts" ""
data "BoostsOnEquipMainHand" "UnlockSpell(Projectile_PiercingShot);UnlockSpell(Shout_SteadyRangedCrossbow)"
data "PassivesMainHand" ""
data "Weapon Group" "MartialRangedWeapon"
data "VersatileDamage" ""
data "Weapon Properties" "Ammunition;Loading;Heavy;Twohanded;Dippable"
data "Proficiency Group" "HeavyCrossbows;MartialWeapons"
